Latitude,Longitude,City,Year,Listing,Price,Increment
47.6062,-122.3321,Seattle    ,2013,1998,417429.166666667,0
47.6062,-122.3321,Seattle    ,2014,1914.083333,438141.166666667,20712.000000000
47.6062,-122.3321,Seattle    ,2015,1530.333333,492101.666666667,53960.500000000
47.6062,-122.3321,Seattle    ,2016,1580.75,573070.833333333,80969.166666666
47.6062,-122.3321,Seattle    ,2017,1243.916667,644591.666666667,71520.833333334
47.6062,-122.3321,Seattle    ,2018,1644.25,709395.833333333,64804.166666666
47.6062,-122.3321,Seattle    ,2019,1682,687750,-21645.833333333
47.4797,-122.2079,Renton    ,2013,430.083333,325999.5,0
47.4797,-122.2079,Renton    ,2014,515.333333,358339.583333333,32340.083333333
47.4797,-122.2079,Renton    ,2015,429.5,364649.875,6310.29166666698
47.4797,-122.2079,Renton    ,2016,388.333333,397604,32954.125
47.4797,-122.2079,Renton    ,2017,262,435559.916666667,37955.916666667
47.4797,-122.2079,Renton    ,2018,365.583333,512545.666666667,76985.750000000
47.4797,-122.2079,Renton    ,2019,321.333333,574316.666666667,61771.000000000
47.6101,-122.2015,Bellevue    ,2013,425.416667,619695.333333333,0
47.6101,-122.2015,Bellevue    ,2014,416.333333,664691.666666667,44996.333333334
47.6101,-122.2015,Bellevue    ,2015,390.833333,694231.25,29539.583333333
47.6101,-122.2015,Bellevue    ,2016,349.583333,782105.25,87874.00
47.6101,-122.2015,Bellevue    ,2017,275.166667,905258.708333333,123153.458333333
47.6101,-122.2015,Bellevue    ,2018,363.416667,960263.625,55004.916666667
47.6101,-122.2015,Bellevue    ,2019,344.666667,962000,1736.375
47.7601,-122.2054,Bothell    ,2013,164.166667,377279.416666667,0
47.7601,-122.2054,Bothell    ,2014,183.583333,437206.25,59926.833333333
47.7601,-122.2054,Bothell    ,2015,199.083333,467627.916666667,30421.666666667
47.7601,-122.2054,Bothell    ,2016,224.25,511294.583333333,43666.666666666
47.7601,-122.2054,Bothell    ,2017,192.666667,598977.958333333,87683.375000000
47.7601,-122.2054,Bothell    ,2018,203.916667,674486.666666667,75508.708333334
47.7601,-122.2054,Bothell    ,2019,241.666667,687650,13163.333333333
47.8209,-122.3151,Lynnwood    ,2013,194.25,309859.916666667,0
47.8209,-122.3151,Lynnwood    ,2014,267.166667,334976.25,25116.333333333
47.8209,-122.3151,Lynnwood    ,2015,213.416667,355485.375,20509.125
47.8209,-122.3151,Lynnwood    ,2016,179,383325,27839.625
47.8209,-122.3151,Lynnwood    ,2017,148.666667,430228.333333333,46903.333333333
47.8209,-122.3151,Lynnwood    ,2018,220.333333,503998.5,73770.166666667
47.8209,-122.3151,Lynnwood    ,2019,183,497666.666666667,-6331.83333333302
47.6769,-122.206,Kirkland    ,2013,375.916667,508485.125,0
47.6769,-122.206,Kirkland    ,2014,404.916667,534630.833333333,26145.708333333
47.6769,-122.206,Kirkland    ,2015,373,586562.5,51931.666666667
47.6769,-122.206,Kirkland    ,2016,291.5,683469.333333333,96906.833333333
47.6769,-122.206,Kirkland    ,2017,234.666667,747515.833333333,64046.500000000
47.6769,-122.206,Kirkland    ,2018,268.916667,842385.375,94869.541666667
47.6769,-122.206,Kirkland    ,2019,263.666667,845000,2614.625
47.6769,-122.206,Sammamish    ,2013,246.166667,656850.833333333,0
47.6769,-122.206,Sammamish    ,2014,271.166667,735385,78534.166666667
47.6769,-122.206,Sammamish    ,2015,211.5,764898.333333333,29513.333333333
47.6769,-122.206,Sammamish    ,2016,177.333333,833348.166666667,68449.833333334
47.6769,-122.206,Sammamish    ,2017,155.833333,934986.25,101638.083333333
47.6769,-122.206,Sammamish    ,2018,229.583333,1093581.04166667,158594.79166667
47.6769,-122.206,Sammamish    ,2019,201.666667,1137664.16666667,44083.12500000
47.6769,-122.206,Shoreline    ,2013,80.333333,319460.416666667,0
47.6769,-122.206,Shoreline    ,2014,82.25,348672.833333333,29212.416666666
47.6769,-122.206,Shoreline    ,2015,84.75,390726,42053.166666667
47.6769,-122.206,Shoreline    ,2016,82.25,443024.958333333,52298.958333333
47.6769,-122.206,Shoreline    ,2017,78.833333,533544.666666667,90519.708333334
47.6769,-122.206,Shoreline    ,2018,81.416667,618572.458333333,85027.791666666
47.6769,-122.206,Shoreline    ,2019,91.333333,615623,-2949.45833333302
47.674,-122.1215,Redmond,2013,154.666667,591138.666666667,0
47.674,-122.1215,Redmond,2014,155.25,623682.708333333,32544.041666666
47.674,-122.1215,Redmond,2015,154.5,632412.083333333,8729.375000000
47.674,-122.1215,Redmond,2016,137.25,704980.625,72568.541666667
47.674,-122.1215,Redmond,2017,138.5833333,706820.75,1840.125
47.674,-122.1215,Redmond,2018,132.666667,817202.083333333,110381.333333333
47.674,-122.1215,Redmond,2019,124.666667,850233.333333333,33031.250000000
