City,Date,Price
Seattle,2013-01,388000
Seattle,2013-02,398400
Seattle,2013-03,404000
Seattle,2013-04,416800
Seattle,2013-05,425000
Seattle,2013-06,429000
Seattle,2013-07,429000
Seattle,2013-08,425000
Seattle,2013-09,424950
Seattle,2013-10,425000
Seattle,2013-11,425000
Seattle,2013-12,419000
Seattle,2014-01,410000
Seattle,2014-02,415000
Seattle,2014-03,419950
Seattle,2014-04,429000
Seattle,2014-05,429950
Seattle,2014-06,450000
Seattle,2014-07,455000
Seattle,2014-08,448844
Seattle,2014-09,450000
Seattle,2014-10,450000
Seattle,2014-11,449950
Seattle,2014-12,450000
Seattle,2015-01,449000
Seattle,2015-02,450000
Seattle,2015-03,479000
Seattle,2015-04,479500
Seattle,2015-05,480000
Seattle,2015-06,495000
Seattle,2015-07,499000
Seattle,2015-08,499500
Seattle,2015-09,5E+05
Seattle,2015-10,519250
Seattle,2015-11,525000
Seattle,2015-12,529970
Seattle,2016-01,529950
Seattle,2016-02,539950
Seattle,2016-03,550000
Seattle,2016-04,565000
Seattle,2016-05,575000
Seattle,2016-06,575000
Seattle,2016-07,584950
Seattle,2016-08,575000
Seattle,2016-09,589000
Seattle,2016-10,595000
Seattle,2016-11,599000
Seattle,2016-12,599000
Seattle,2017-01,599000
Seattle,2017-02,599950
Seattle,2017-03,615000
Seattle,2017-04,625000
Seattle,2017-05,645000
Seattle,2017-06,650000
Seattle,2017-07,655000
Seattle,2017-08,649950
Seattle,2017-09,649000
Seattle,2017-10,679950
Seattle,2017-11,679250
Seattle,2017-12,688000
Seattle,2018-01,695000
Seattle,2018-02,699000
Seattle,2018-03,725000
Seattle,2018-04,719950
Seattle,2018-05,735000
Seattle,2018-06,725000
Seattle,2018-07,725000
Seattle,2018-08,7E+05
Seattle,2018-09,699950
Seattle,2018-10,699950
Seattle,2018-11,699000
Seattle,2018-12,689900
Seattle,2019-01,678750
Seattle,2019-02,685000
Seattle,2019-03,699500
Renton,2013-01,289950
Renton,2013-02,295950
Renton,2013-03,299000
Renton,2013-04,317394
Renton,2013-05,340000
Renton,2013-06,349950
Renton,2013-07,343000
Renton,2013-08,339950
Renton,2013-09,339925
Renton,2013-10,336900
Renton,2013-11,325000
Renton,2013-12,334975
Renton,2014-01,350000
Renton,2014-02,350000
Renton,2014-03,354900
Renton,2014-04,359900
Renton,2014-05,359950
Renton,2014-06,360000
Renton,2014-07,370000
Renton,2014-08,369450
Renton,2014-09,359950
Renton,2014-10,357000
Renton,2014-11,359925
Renton,2014-12,349000
Renton,2015-01,365000
Renton,2015-02,359950
Renton,2015-03,359000
Renton,2015-04,354500
Renton,2015-05,350000
Renton,2015-06,352498.5
Renton,2015-07,365000
Renton,2015-08,370000
Renton,2015-09,379950
Renton,2015-10,369950
Renton,2015-11,374950
Renton,2015-12,375000
Renton,2016-01,385000
Renton,2016-02,389000
Renton,2016-03,390000
Renton,2016-04,396950
Renton,2016-05,4E+05
Renton,2016-06,4E+05
Renton,2016-07,402500
Renton,2016-08,399950
Renton,2016-09,399900
Renton,2016-10,399998
Renton,2016-11,4E+05
Renton,2016-12,407950
Renton,2017-01,409000
Renton,2017-02,414999
Renton,2017-03,419850
Renton,2017-04,423000
Renton,2017-05,434950
Renton,2017-06,440000
Renton,2017-07,440000
Renton,2017-08,439970
Renton,2017-09,439000
Renton,2017-10,450000
Renton,2017-11,456000
Renton,2017-12,459950
Renton,2018-01,459950
Renton,2018-02,469475
Renton,2018-03,487497.5
Renton,2018-04,514967
Renton,2018-05,5E+05
Renton,2018-06,514983
Renton,2018-07,520000
Renton,2018-08,524725
Renton,2018-09,529050.5
Renton,2018-10,529950
Renton,2018-11,540000
Renton,2018-12,559950
Renton,2019-01,569000
Renton,2019-02,574950
Renton,2019-03,579000
Bellevue,2013-01,563350
Bellevue,2013-02,631995
Bellevue,2013-03,6E+05
Bellevue,2013-04,625000
Bellevue,2013-05,609000
Bellevue,2013-06,618000
Bellevue,2013-07,647000
Bellevue,2013-08,625000
Bellevue,2013-09,627000
Bellevue,2013-10,625000
Bellevue,2013-11,625000
Bellevue,2013-12,639999
Bellevue,2014-01,656500
Bellevue,2014-02,630000
Bellevue,2014-03,654000
Bellevue,2014-04,675000
Bellevue,2014-05,694000
Bellevue,2014-06,7E+05
Bellevue,2014-07,699000
Bellevue,2014-08,689950
Bellevue,2014-09,675000
Bellevue,2014-10,649950
Bellevue,2014-11,628000
Bellevue,2014-12,624900
Bellevue,2015-01,639900
Bellevue,2015-02,652500
Bellevue,2015-03,685000
Bellevue,2015-04,682475
Bellevue,2015-05,7E+05
Bellevue,2015-06,728000
Bellevue,2015-07,720000
Bellevue,2015-08,699950
Bellevue,2015-09,685000
Bellevue,2015-10,699950
Bellevue,2015-11,7E+05
Bellevue,2015-12,738000
Bellevue,2016-01,750000
Bellevue,2016-02,750000
Bellevue,2016-03,750000
Bellevue,2016-04,795000
Bellevue,2016-05,798888
Bellevue,2016-06,796375
Bellevue,2016-07,795000
Bellevue,2016-08,785000
Bellevue,2016-09,786500
Bellevue,2016-10,786500
Bellevue,2016-11,795000
Bellevue,2016-12,797000
Bellevue,2017-01,849925
Bellevue,2017-02,908477
Bellevue,2017-03,877500
